Drug	Drug Class or Action	Phenotype	Dosage Information	Category	Interpretation	Notes	References
Clopidogrel	Antiplatelet	CYP2C19 Normal metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Rapid metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Intermediate metabolizer	Use alternative drug	ATYPICAL	This result indicates that the patient carries one copy of a normal function allele and one copy of a no function allele of CYP2C19, or one increased function allele and one no function allele of CYP2C19, predicting intermediate metabolizer status for CYP2C19 substrates. Patients with this genotype are at increased risk of adverse cardiovascular events in response to clopidogrel. Use of an alternative antiplatelet drug is recommended.	The cytochrome P450-2C19 (CYP2C19) enzyme contributes to the metabolism of many drugs, including clopidogrel. CYP2C19 is highly polymorphic, and alleles have been identified that have normal, increased, or decreased function. Among clopidogrel treated patients with acute coronary syndromes (ACSs) undergoing percutaneous coronary intervention (PCI), CYP2C19 intermediate or poor metabolizers may be at increased risk of serious adverse cardiovascular events. (Scott_2013) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guideline/PA166104948.	Scott_2011, Scott_2013
Clopidogrel	Antiplatelet	CYP2C19 Ultrarapid metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Poor metabolizer	Use alternative drug	ATYPICAL	This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Patients with this genotype are at high risk of adverse cardiovascular events in response to clopidogrel. Use of an alternative antiplatelet drug is recommended.	The cytochrome P450-2C19 (CYP2C19) enzyme contributes to the metabolism of many drugs, including clopidogrel. CYP2C19 is highly polymorphic, and alleles have been identified that have normal, increased, or decreased function. Among clopidogrel treated patients with acute coronary syndromes (ACSs) undergoing percutaneous coronary intervention (PCI), CYP2C19 intermediate or poor metabolizers may be at increased risk of serious adverse cardiovascular events. (Scott_2013) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guideline/PA166104948.	Scott_2011, Scott_2013
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Normal metabolizer	Standard dosage of sertraline	STANDARD			
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Rapid metabolizer	Standard dosage of sertraline or use alternative drug if not effective	ATYPICAL	This result indicates that the patient carries one copy of an increased function allele and one copy of a normal function allele of CYP2C19, predicting rapid metabolizer status for CYP2C19 substrates. Lower plasma concentrations will increase probability of treatment failure with sertraline. Initiate therapy with standard dosage, but if patient not responsive, consider an alternative drug not predominantly metabolized by CYP2C19.	Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guideline/PA166127638 and https://www.pharmgkb.org/gene/PA124/guideline/PA166127639.	Hicks_2015
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Intermediate metabolizer	Standard dosage of sertraline	STANDARD			
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Ultrarapid metabolizer	Standard dosage of sertraline or use alternative drug if not effective	ATYPICAL	This result indicates that the patient carries two copies of an increased function allele of CYP2C19, predicting ultrarapid metabolizer status for CYP2C19 substrates.  Lower plasma concentrations will increase probability of treatment failure with sertraline. Initiate therapy with standard dosage, but if patient not responsive, consider an alternative drug not predominantly metabolized by CYP2C19.	Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guideline/PA166127638 and https://www.pharmgkb.org/gene/PA124/guideline/PA166127639.	Hicks_2015
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Poor metabolizer	Decrease dosage of sertraline or use alternative drug	ATYPICAL	This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Higher plasma concentrations may increase the probability of side effects from sertraline. Use a decreased dosage of sertraline or  consider an alternative  drug not predominantly metabolized by CYP2C19.	Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guideline/PA166127638 and https://www.pharmgkb.org/gene/PA124/guideline/PA166127639.	Hicks_2015
